,region,fips,lat,lon,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,time
82,AZ,04007,33.21535,-110.89009,0.89799016941095,>2000m,Steep,86.0,0.5858030413485632,3.631421408,9.88420652061104,10.65,14.25,184.0,1.0,7.0,12.0,2002
83,AZ,04007,34.166259,-111.267674,3.40580187427015,>2000m,Moderate,190.0,0.9666715566732252,17.3291470912,46.94998097290245,10.047368421052632,11.947368421052632,185.0,1.0,7.0,12.0,2002
84,AZ,04007,34.00171,-111.298198,2.1741190957361,>2000m,Flat,316.0,0.7908062846539273,7.269959424,34.59472282213865,7.635714285714286,10.785714285714286,973.0,2.0,7.0,24.0,2002
85,AZ,04007,33.848232,-111.324025,1.32194132077355,>2000m,Steep,26.0,0.423869993946066,5.0116071808,12.355258150763802,9.74,11.4,973.0,1.0,7.0,12.0,2002
86,AZ,04007,33.892492,-111.167093,4.5120166410366,>2000m,Steep,130.0,0.8662841836531052,16.280136115199998,27.18156793168037,11.918181818181818,13.181818181818182,184.0,1.0,7.0,12.0,2002
87,AZ,04007,33.33082,-110.767762,0.8637221253357,>2000m,Gentle,254.0,0.848743261214668,6.3558655616,22.239464671374844,5.888888888888889,8.222222222222221,973.0,2.0,7.0,12.0,2002
89,AZ,04009,33.348283,-110.359869,0.757554605835,>2000m,Gentle,340.0,0.6977306338786269,3.137850208,9.88420652061104,9.95,13.75,185.0,1.0,7.0,12.0,2002
91,AZ,04009,33.164884,-109.497702,0.8942257016554,>2000m,Flat,0.0,0.7969003210419288,0.0,17.297361411069325,7.171428571428572,13.571428571428571,999.0,5.0,6.0,12.0,2002
94,AZ,04009,33.306737,-110.196062,0.45118994606525,>2000m,Steep,295.0,0.3867605065805088,8.307423129599998,9.88420652061104,7.05,12.75,185.0,1.0,7.0,12.0,2002
95,AZ,04009,32.854539,-110.36406,2.03222426616135,>2000m,Flat,72.0,0.8222427763116327,5.5829560192,22.239464671374844,8.555555555555555,11.333333333333334,973.0,1.0,7.0,12.0,2002
96,AZ,04009,32.841002,-109.83476,7.5258951012359505,>2000m,Flat,0.0,0.8401787311215062,11.9932751104,14.826309780916564,15.466666666666669,17.833333333333332,973.0,1.0,7.0,13.0,2002
97,AZ,04011,32.616664,-109.138487,0.15806560601215,>2000m,Gentle,70.0,0.8135501881974297,1.2217838528,9.88420652061104,6.275,4.5,999.0,5.0,7.0,24.0,2002
98,AZ,04013,33.840328,-112.14038,1.2907370618891,1500-2000m,Flat,0.0,0.8106518919252195,3.208901504,4.942103260305521,12.3,17.0,973.0,1.0,7.0,19.0,2002
99,AZ,04013,33.669243,-111.594074,0.1631070223055,1500-2000m,Flat,0.0,0.8020963404099134,0.5703157824,2.4710516301527603,8.7,10.0,999.0,5.0,7.0,13.0,2002
101,AZ,04013,33.531365,-111.159037,3.4784677902881502,>2000m,Steep,48.0,0.3721470259348898,10.5276670848,42.00787771259693,8.088235294117647,15.352941176470589,972.0,1.0,7.0,12.0,2002
102,AZ,04015,34.670581,-113.841561,0.9257767369588,>2000m,Gentle,113.0,0.8470814083198914,6.022486912000001,14.826309780916564,11.45,9.833333333333334,184.0,1.0,7.0,19.0,2002
103,AZ,04015,36.521346,-113.687498,2.41015325823975,>2000m,Moderate,229.0,0.8929616334668948,15.9548841728,12.355258150763802,16.759999999999998,12.8,185.0,1.0,7.0,12.0,2002
106,AZ,04019,31.998678,-110.839863,1.22430859878245,>2000m,Flat,0.0,0.8480603228917853,4.1644323904,19.76841304122208,8.05,9.75,973.0,2.0,7.0,13.0,2002
108,AZ,04019,31.699412,-111.398869,2.3213338773126,>2000m,Flat,0.0,0.8221498832390476,8.5010866944,34.59472282213865,6.892857142857143,10.785714285714286,973.0,2.0,7.0,13.0,2002
109,AZ,04019,32.361632,-111.369591,0.8836159597254,>2000m,Flat,0.0,0.8446865514676231,37.0251173056,9.88420652061104,7.825,14.0,973.0,2.0,7.0,13.0,2002
110,AZ,04019,31.856912,-110.577921,2.10514855603795,>2000m,Flat,0.0,0.820581913329293,14.3208880192,42.00787771259693,7.0,9.117647058823527,973.0,2.0,7.0,24.0,2002
112,AZ,04019,31.904442,-111.525619,2.5380299116480503,>2000m,Flat,0.0,0.8099961780136917,5.760297299199999,24.710516301527605,7.909999999999999,12.3,973.0,1.0,7.0,12.0,2002
114,AZ,04019,31.908298,-110.949099,1.1977637088646005,>2000m,Flat,0.0,0.8488951463644762,5.139912736,9.88420652061104,8.725,14.0,973.0,1.0,7.0,25.0,2002
115,AZ,04019,31.854767,-110.851342,0.8911483014996501,>2000m,Flat,0.0,0.8206033092615598,2.1038300224,7.413154890458282,9.1,12.666666666666666,973.0,1.0,7.0,21.0,2002
116,AZ,04021,32.877286,-110.930373,1.0217725830601,>2000m,Flat,0.0,0.8398351314182179,4.0777704704,9.88420652061104,11.25,14.75,184.0,1.0,7.0,21.0,2002
117,AZ,04021,32.539186,-110.679245,2.98044010179875,>2000m,Moderate,333.5,0.6013159126667068,16.848730137599997,29.652619561833127,9.441666666666666,10.916666666666666,184.0,1.0,7.0,11.0,2002
118,AZ,04023,31.685414,-111.106857,5.164950954315151,>2000m,Gentle,334.0,0.7452304163788007,9.1313885952,27.18156793168037,10.336363636363636,15.090909090909092,973.0,1.0,7.0,25.0,2002
119,AZ,04023,31.369378,-110.843302,0.50209110935695,>2000m,Moderate,60.0,0.7133170645490224,2.266295296,12.355258150763802,6.5200000000000005,9.2,973.0,3.0,7.0,12.0,2002
120,AZ,04023,31.543914,-110.995647,2.7372909123928504,>2000m,Steep,180.0,0.998181295527008,7.7609135488,37.06577445229141,7.806666666666667,9.533333333333331,973.0,1.0,7.0,12.0,2002
122,AZ,04023,31.411086,-110.999443,3.2949129568430005,>2000m,Gentle,127.0,0.9055481726635958,8.9043688,42.00787771259693,6.694117647058824,13.058823529411764,973.0,2.0,7.0,12.0,2002
123,AZ,04025,34.699635,-111.709889,2.7098795325697504,>2000m,Steep,155.0,0.8941959660403614,11.6649469568,39.536826082444165,8.525,12.625,184.0,1.0,7.0,12.0,2002
124,AZ,04025,34.026289,-111.873359,1.9345788662359,>2000m,Steep,92.0,0.4913662776939279,7.914953676800001,12.355258150763802,12.9,15.0,184.0,1.0,7.0,22.0,2002
125,AZ,04025,34.499555,-113.292013,1.3918094169764,>2000m,Gentle,239.0,0.8535390611833162,7.5541416512,27.18156793168037,8.381818181818183,8.181818181818182,184.0,1.0,7.0,12.0,2002
126,AZ,04025,34.341552,-112.14374,0.6100880880736,>2000m,Flat,0.0,0.805498731019724,2.181355136,14.826309780916564,6.766666666666667,9.666666666666666,973.0,2.0,7.0,12.0,2002
127,AZ,04025,34.503932,-111.850468,0.97088073515275,>2000m,Moderate,95.0,0.7383657935479965,5.0102986432,9.88420652061104,12.5,11.75,184.0,1.0,7.0,12.0,2002
128,AZ,04025,34.385698,-111.707866,0.3674107585841,>2000m,Steep,103.0,0.6277844004888697,1.8066542464,4.942103260305521,10.25,12.0,999.0,5.0,7.0,22.0,2002
129,AZ,04025,34.879317,-111.984848,1.5958907385061,>2000m,Flat,7.0,0.7677681561900161,5.8122255808,17.297361411069325,9.114285714285714,13.571428571428571,184.0,1.0,7.0,12.0,2002
130,AZ,04025,34.525287,-111.707769,4.04733622171,>2000m,Steep,200.0,0.8882493400750094,19.584675648,17.297361411069325,18.27142857142857,13.142857142857142,184.0,1.0,7.0,12.0,2002
131,AZ,04025,34.056775,-111.723908,5.04369175895625,>2000m,Flat,0.0,0.8284830554063027,8.703014707200001,4.942103260305521,20.8,56.0,703.0,1.0,6.0,25.0,2002
132,AZ,04025,34.835119,-111.816175,1.8931555444140504,>2000m,Gentle,225.0,0.8827887477541095,8.810337747199998,19.76841304122208,11.025,14.25,185.0,1.0,7.0,12.0,2002
133,AZ,04025,34.157237,-111.87406,1.95914685024115,>2000m,Moderate,217.0,0.93095960840228,10.235748416,34.59472282213865,9.62142857142857,11.071428571428571,184.0,1.0,7.0,12.0,2002
135,AZ,04003,32.268535,-110.360034,1.5972151527997005,>2000m,Moderate,356.0,0.6124062680605693,8.615801824,14.826309780916564,10.916666666666666,12.666666666666666,184.0,1.0,7.0,19.0,2003
136,AZ,04003,31.588964,-109.844786,1.0521697851105505,>2000m,Flat,0.0,0.823245728224054,4.0440469312,17.297361411069325,7.457142857142857,5.714285714285714,973.0,1.0,7.0,13.0,2003
137,AZ,04003,31.901055,-109.836164,0.7082902321276501,>2000m,Flat,0.0,0.8300020150692533,3.3719636544,19.76841304122208,7.2125,6.75,973.0,3.0,7.0,13.0,2003
138,AZ,04003,32.26391,-109.94041,1.0429713390410502,>2000m,Gentle,25.0,0.6915672227039344,5.037709062399999,22.239464671374844,8.355555555555556,7.333333333333333,973.0,1.0,7.0,12.0,2003
139,AZ,04003,31.905399,-110.102475,3.63897108701045,>2000m,Flat,0.0,0.8299597249068388,6.4256771904,14.826309780916564,11.4,14.333333333333334,973.0,1.0,7.0,19.0,2003
140,AZ,04007,33.27353,-110.457924,11.815097943872152,>2000m,Flat,0.0,0.8062016996037683,12.1014705088,44.47892934274969,9.155555555555557,47.44444444444444,703.0,2.0,5.0,25.0,2003
141,AZ,04007,33.44551,-110.991129,1.12345561869885,>2000m,Steep,249.0,0.7967973092486201,3.1026344768,14.826309780916564,6.933333333333334,13.166666666666666,973.0,1.0,7.0,12.0,2003
143,AZ,04007,33.580752,-110.829413,0.2250152262599,>2000m,Steep,291.0,0.3154803251155494,3.2081439296,4.942103260305521,7.95,13.0,184.0,2.0,7.0,12.0,2003
144,AZ,04007,33.440638,-110.731637,0.3321738820318,>2000m,Gentle,65.0,0.745746528050931,8.7202323072,12.355258150763802,5.98,7.2,973.0,3.0,7.0,12.0,2003
146,AZ,04009,32.715025,-109.774687,0.51930560786415,>2000m,Steep,95.0,0.7083690862573719,4.305892192,17.297361411069325,6.671428571428572,7.0,973.0,3.0,7.0,12.0,2003
147,AZ,04009,32.896671,-110.040363,1.4729383714453002,>2000m,Flat,0.0,0.8100757084914931,5.4648432832,17.297361411069325,8.77142857142857,8.857142857142858,973.0,1.0,7.0,13.0,2003
148,AZ,04009,32.93645,-109.936789,0.51221423425945,>2000m,Gentle,20.0,0.7707529751033334,1.3853740096,4.942103260305521,9.2,10.0,999.0,5.0,7.0,12.0,2003
149,AZ,04009,32.591096,-109.65114,0.27850642171035,>2000m,Flat,0.0,0.8029101212965317,3.9406265472,14.826309780916564,6.633333333333333,4.333333333333333,973.0,3.0,7.0,19.0,2003
150,AZ,04009,32.445033,-109.671606,0.7425042826167,>2000m,Gentle,59.0,0.7436360591646325,5.6276758656,12.355258150763802,9.3,6.0,973.0,1.0,7.0,11.0,2003
151,AZ,04011,33.205835,-109.177909,1.5172850740618502,>2000m,Steep,354.0,0.3729940492417129,4.95924272,19.76841304122208,8.825,17.0,185.0,2.0,7.0,12.0,2003
152,AZ,04013,33.977121,-111.865918,7.561142705443601,>2000m,Gentle,106.5,0.8434019505296313,30.790165209600005,42.00787771259693,9.658823529411764,21.58823529411765,184.0,1.0,6.0,12.0,2003
153,AZ,04015,34.764401,-113.673697,1.04675104923575,>2000m,Flat,0.0,0.7797271358092538,10.204527168,7.413154890458282,14.533333333333331,11.666666666666666,184.0,1.0,7.0,13.0,2003
155,AZ,04019,31.952613,-111.214642,3.2459631014916,>2000m,Flat,0.0,0.8196261457268152,6.1572892416,17.297361411069325,9.657142857142857,13.428571428571429,973.0,1.0,7.0,13.0,2003
156,AZ,04019,32.450153,-111.742449,0.4906220913123,1500-2000m,Flat,0.0,0.8246186468553105,1.7316773376,7.413154890458282,5.1,9.0,973.0,3.0,7.0,13.0,2003
157,AZ,04019,31.634422,-111.525062,0.29564729830615,>2000m,Flat,0.0,0.8421285637694865,0.6565874368,4.942103260305521,6.6,13.5,999.0,5.0,7.0,13.0,2003
158,AZ,04019,31.776877,-111.20731,0.7509946070400001,>2000m,Flat,0.0,0.8501052886285498,2.7360832512,9.88420652061104,8.100000000000001,11.5,973.0,1.0,7.0,13.0,2003
159,AZ,04019,31.769251,-110.942936,1.8908644945094,>2000m,Gentle,355.0,0.685456765222255,3.8633080448,19.76841304122208,7.775,14.25,973.0,2.0,7.0,19.0,2003
160,AZ,04019,32.484063,-111.049913,1.3006932003169,>2000m,Gentle,136.0,0.9054304594462632,2.7643201152,9.88420652061104,9.325,13.0,973.0,1.0,7.0,12.0,2003
162,AZ,04019,31.606568,-111.242335,1.84967094917925,>2000m,Gentle,50.0,0.7884826626634057,6.135434367999999,24.710516301527605,8.05,10.6,973.0,1.0,7.0,12.0,2003
163,AZ,04019,32.408339,-110.623156,0.9601071955663002,>2000m,Gentle,21.0,0.7100571212942627,3.041316864,12.355258150763802,7.32,10.8,973.0,1.0,7.0,12.0,2003
166,AZ,04023,31.482044,-110.836111,1.5473925274205,>2000m,Moderate,58.0,0.6768789953924622,2.0522231360000003,7.413154890458282,9.4,18.33333333333333,973.0,1.0,7.0,12.0,2003
167,AZ,04023,31.509606,-111.097826,3.1437467396433,>2000m,Steep,41.0,0.3696364329195544,7.0450057408,22.239464671374844,8.877777777777778,17.77777777777778,972.0,1.0,7.0,12.0,2003
168,AZ,04023,31.632795,-111.10383,0.2863305543651,>2000m,Flat,0.0,0.8514268752037463,2.5246281664,9.88420652061104,5.825,9.25,973.0,3.0,7.0,13.0,2003
170,AZ,04025,34.602883,-112.849863,4.471201073226851,>2000m,Moderate,17.0,0.5738179843515824,14.928072422399998,24.710516301527605,12.11,16.2,184.0,1.0,7.0,12.0,2003
