,region,lat,lon,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
5215,Northern Rockies & Plains,49.09999999999999,-115.70000000000051,14.604645,0.0,86263.44,-0.65358925,-0.41241455,-0.008683436,3828.216,344.79,2.8590088,0.0
5216,Northern Rockies & Plains,49.09999999999999,-115.60000000000052,14.534332,0.0,85812.44,-0.48366737,-0.28936768,-0.010470405,3823.399,338.19446,2.8530273,0.87854004
5217,Northern Rockies & Plains,49.09999999999999,-115.50000000000054,14.667145,0.0,85456.44,-0.2356205,-0.12823486,-0.011194423,3819.0989,332.22055,2.862915,2.7818604
5218,Northern Rockies & Plains,49.09999999999999,-115.40000000000056,15.434723,0.0,87166.44,-0.19460487,-0.03253174,-0.009405397,3813.604,326.2689,3.150879,2.2434082
5219,Northern Rockies & Plains,49.09999999999999,-115.30000000000057,16.118317,0.0,88929.44,-0.27272987,0.027038574,-0.007544093,3807.4438,320.35278,3.572876,2.0048828
5220,Northern Rockies & Plains,49.09999999999999,-115.20000000000056,16.467926,0.0,90403.44,-0.48171425,0.0446167,-0.005067982,3800.5396,314.45,4.166992,2.4057617
5221,Northern Rockies & Plains,49.09999999999999,-115.10000000000056,14.479645,0.0,88512.44,-0.70339394,-0.00030517578,-0.0062583685,3792.43,307.7072,3.3704834,1.0587158
5222,Northern Rockies & Plains,49.09999999999999,-115.00000000000055,12.23941,0.0,85728.44,-0.83327675,0.0006713867,-0.007814877,3784.2195,301.94446,2.6541748,0.0
5223,Northern Rockies & Plains,49.09999999999999,-114.90000000000056,10.378082,0.0,82282.44,-0.7727299,0.105163574,-0.0084040165,3776.0078,298.29166,2.5565186,0.0
5224,Northern Rockies & Plains,49.09999999999999,-114.80000000000058,9.868317,0.0,81726.44,-0.8137455,0.04852295,-0.008041769,3765.1177,295.05667,2.5255127,0.0
5225,Northern Rockies & Plains,49.09999999999999,-114.7000000000006,10.071442,0.0,82485.44,-0.8625736,-0.031555176,-0.0073530525,3753.8022,291.89444,2.5355225,0.0
5226,Northern Rockies & Plains,49.09999999999999,-114.6000000000006,11.126129,0.0,84633.44,-0.8869877,-0.10284424,-0.006581366,3742.4883,288.77112,2.5692139,0.0
5227,Northern Rockies & Plains,49.09999999999999,-114.5000000000006,11.827301,0.0,85416.44,-0.5656986,-0.061828613,-0.005767986,3731.2517,286.09055,2.5384521,1.0718994
5228,Northern Rockies & Plains,49.09999999999999,-114.4000000000006,12.028473,0.0,85116.44,-0.11940956,0.020202637,-0.0048892945,3720.0405,283.56888,2.4730225,1.9667969
5229,Northern Rockies & Plains,49.09999999999999,-114.3000000000006,10.755035,0.0,82768.44,0.32590294,0.10321045,-0.0038056746,3708.8184,281.02554,2.3443604,1.9484863
5230,Northern Rockies & Plains,49.09999999999999,-114.2000000000006,9.635895,0.0,81493.44,0.66672325,0.17059326,-0.0032772943,3707.895,280.2089,2.2714844,2.3608398
5231,Northern Rockies & Plains,49.09999999999999,-114.10000000000062,8.811676,0.0,81108.44,0.9255123,0.25360107,-0.0030715019,3712.8867,279.9528,2.2415771,2.9472656
5232,Northern Rockies & Plains,49.09999999999999,-114.00000000000064,9.559723,0.0,83037.44,1.0251217,0.4381714,-0.0031255186,3722.7283,278.325,2.3671875,2.928955
5233,Northern Rockies & Plains,49.09999999999999,-113.90000000000065,10.165192,0.0,84557.44,1.162817,0.6793823,-0.0021715611,3731.0266,276.17,2.1411133,2.3287354
5234,Northern Rockies & Plains,49.09999999999999,-113.80000000000064,10.809723,0.0,85743.44,1.3141842,0.9508667,-0.00059426576,3738.804,273.72665,1.703125,1.4815674
5235,Northern Rockies & Plains,49.09999999999999,-113.70000000000064,11.319489,0.0,85807.44,1.2106686,1.1784058,-0.0018949211,3755.48,271.28555,2.9261475,1.3325195
5236,Northern Rockies & Plains,49.09999999999999,-113.60000000000063,11.674957,0.0,86012.44,1.0260983,1.3932495,-0.0019608885,3775.0144,268.8261,2.9041748,1.3146973
5237,Northern Rockies & Plains,49.09999999999999,-113.50000000000064,11.915192,0.0,86389.44,0.7741451,1.5973511,-0.0007137656,3796.9246,266.3739,1.7780762,1.413208
5238,Northern Rockies & Plains,49.09999999999999,-113.40000000000066,12.585114,0.0,87234.44,0.44797325,1.7848511,-0.0007232949,3815.2095,264.53888,1.4934082,2.352295
5239,Northern Rockies & Plains,49.09999999999999,-113.30000000000068,12.885895,0.0,87666.44,0.18234825,1.9830933,-0.00075499713,3830.354,262.56723,1.4870605,2.6759033
5240,Northern Rockies & Plains,49.09999999999999,-113.20000000000068,12.735504,0.0,87498.44,-0.010034561,2.191101,-0.0007369518,3841.2222,260.5428,1.8267822,2.1397705
5241,Northern Rockies & Plains,49.09999999999999,-113.10000000000068,12.798004,0.0,87348.44,-0.3655033,2.4108276,-0.0007622987,3850.715,257.4711,1.9632568,1.935669
5242,Northern Rockies & Plains,49.09999999999999,-113.00000000000068,12.823395,0.0,87329.44,-0.68776894,2.6256714,-0.00076474994,3859.8794,254.37611,2.7490234,1.6489258
5243,Northern Rockies & Plains,49.09999999999999,-112.90000000000067,12.794098,0.0,87514.44,-0.9446049,2.8307495,-0.0007429123,3868.5083,251.29333,4.6503906,1.2282715
5244,Northern Rockies & Plains,49.09999999999999,-112.8000000000007,12.848785,0.0,87865.44,-0.8821049,2.9918823,-0.000742726,3874.5962,248.25166,4.972412,1.1397705
5245,Northern Rockies & Plains,49.09999999999999,-112.7000000000007,12.903473,0.0,88238.44,-0.76003456,3.1432495,-0.000689134,3880.0405,245.23222,4.991333,1.1339111
5246,Northern Rockies & Plains,49.09999999999999,-112.6000000000007,12.975739,0.0,88588.44,-0.63503456,3.289734,-0.0007368848,3885.1384,242.2411,4.99646,1.1130371
5247,Northern Rockies & Plains,49.09999999999999,-112.50000000000072,12.92691,0.0,88763.44,-0.5539799,3.3590698,-0.00074166805,3886.5295,239.32222,2.30188,1.0727539
5248,Northern Rockies & Plains,49.09999999999999,-112.40000000000072,12.848785,0.0,88866.44,-0.4885502,3.3571167,-0.00074828416,3887.2327,236.56111,0.0,1.0285645
5249,Northern Rockies & Plains,49.09999999999999,-112.30000000000072,12.77652,0.0,88923.44,-0.430933,3.2262573,-0.00075816363,3888.9827,234.12944,0.0,1.0050049
5250,Northern Rockies & Plains,49.09999999999999,-112.20000000000071,12.73941,0.0,89201.44,-0.36745644,3.0827026,-0.00076626986,3890.9912,231.74222,2.201538,0.97180176
5251,Northern Rockies & Plains,49.09999999999999,-112.10000000000072,12.717926,0.0,89624.44,-0.31765175,2.9274292,-0.000772886,3892.3145,229.38445,4.5423584,0.9338379
5252,Northern Rockies & Plains,49.09999999999999,-112.00000000000074,12.657379,0.0,90122.44,-0.3606205,2.7164917,-0.0007618889,3888.9268,227.11555,1.2867432,0.9185791
5253,Northern Rockies & Plains,49.09999999999999,-111.90000000000074,12.549957,0.0,90437.44,-0.42409706,2.4938354,-0.0007426217,3884.52,224.88055,0.0,0.9133301
5254,Northern Rockies & Plains,49.09999999999999,-111.80000000000076,12.415192,0.0,90604.44,-0.49929237,2.2731323,-0.00073019415,3879.7395,222.67166,0.22241211,0.9139404
5255,Northern Rockies & Plains,49.09999999999999,-111.70000000000076,12.323395,0.0,90685.44,-0.6057377,2.1539917,-0.0008473918,3876.2134,220.57556,3.4372559,0.92211914
5256,Northern Rockies & Plains,49.09999999999999,-111.60000000000076,12.262848,0.0,90819.44,-0.774683,2.1315308,-0.0008452758,3870.6584,218.44055,3.2250977,0.9493408
5257,Northern Rockies & Plains,49.09999999999999,-111.50000000000075,12.231598,0.0,91049.44,-0.9914799,2.195984,-0.00075915456,3863.619,216.27556,0.007080078,0.98950195
5258,Northern Rockies & Plains,49.09999999999999,-111.40000000000076,12.149567,0.0,91255.44,-1.1067142,2.242859,-0.0007533431,3856.0479,213.77222,0.0,0.97631836
5259,Northern Rockies & Plains,49.09999999999999,-111.30000000000078,12.059723,0.0,91348.44,-1.2317142,2.2819214,-0.00074940175,3848.571,211.21388,0.0,0.9519043
5260,Northern Rockies & Plains,49.09999999999999,-111.20000000000078,11.96402,0.0,91318.44,-1.368433,2.3121948,-0.000747703,3841.2068,208.58833,0.0,0.9177246
5261,Northern Rockies & Plains,49.09999999999999,-111.1000000000008,11.89566,0.0,91216.44,-1.5393314,2.3121948,-0.00074935704,3834.2173,205.72722,0.0,0.9161377
5262,Northern Rockies & Plains,49.09999999999999,-111.0000000000008,11.811676,0.0,91099.44,-1.7190189,2.3082886,-0.0007512346,3826.4539,202.86223,0.0,0.9161377
5263,Northern Rockies & Plains,49.09999999999999,-110.9000000000008,11.696442,0.0,90923.44,-1.9084721,2.300476,-0.0007533133,3817.4504,200.00389,0.0,0.9161377
5264,Northern Rockies & Plains,49.09999999999999,-110.8000000000008,11.434723,0.0,90686.44,-2.0051517,2.070984,-0.0007134527,3799.6084,197.37778,0.0,0.91296387
5265,Northern Rockies & Plains,49.09999999999999,-110.7000000000008,11.251129,0.0,90609.44,-2.1311283,1.8034058,-0.000699684,3786.0789,194.58444,0.0,0.9082031
5266,Northern Rockies & Plains,49.09999999999999,-110.60000000000082,11.237457,0.0,90842.44,-2.321558,1.5309448,-0.00073972344,3781.5088,191.47166,0.0,0.8897705
5267,Northern Rockies & Plains,49.09999999999999,-110.50000000000082,11.253082,0.0,91233.44,-2.5119877,1.2594604,-0.0007802099,3776.9138,188.36555,0.0,0.88171387
5268,Northern Rockies & Plains,49.09999999999999,-110.40000000000084,11.260895,0.0,91603.44,-2.6633549,1.0153198,-0.00081296265,3772.104,185.305,0.0,0.8913574
5269,Northern Rockies & Plains,49.09999999999999,-110.30000000000084,11.219879,0.0,91787.44,-2.7014408,0.84539795,-0.00082312524,3766.4622,182.37445,0.0,0.9493408
5270,Northern Rockies & Plains,49.09999999999999,-110.20000000000084,11.157379,0.0,91865.44,-2.7317142,0.6803589,-0.0008352101,3760.746,179.43666,0.0,0.9613037
5271,Northern Rockies & Plains,49.09999999999999,-110.10000000000085,11.069489,0.0,91887.44,-2.7336674,0.51727295,-0.0008373782,3753.3745,176.75722,0.0,0.96398926
5272,Northern Rockies & Plains,49.09999999999999,-110.00000000000084,10.917145,0.0,91862.44,-2.6174564,0.35809326,-0.00081510097,3738.446,175.28166,0.0,0.96398926
5273,Northern Rockies & Plains,49.09999999999999,-109.90000000000086,10.719879,0.0,91857.44,-2.562769,0.36395264,-0.0006921217,3729.2021,174.17,0.0,0.7852783
5274,Northern Rockies & Plains,49.09999999999999,-109.80000000000086,10.503082,0.0,91855.44,-2.5256596,0.44696045,-0.00052654,3721.9194,173.24445,0.0,0.5369873
5275,Northern Rockies & Plains,49.09999999999999,-109.70000000000088,10.378082,0.0,91786.44,-2.4807377,0.5270386,-0.00050433725,3714.2183,171.68723,0.0,0.5369873
5276,Northern Rockies & Plains,49.09999999999999,-109.60000000000088,10.299957,0.0,91681.44,-2.4348392,0.5993042,-0.0005775988,3706.13,170.30556,0.0,0.6956787
5277,Northern Rockies & Plains,49.09999999999999,-109.50000000000088,10.247223,0.0,91545.44,-2.3869877,0.66571045,-0.0007135719,3697.6729,169.06444,0.0,0.95654297
5278,Northern Rockies & Plains,49.09999999999999,-109.40000000000089,10.030426,0.0,91460.44,-2.337183,0.7194214,-0.00053646415,3688.6677,168.06555,0.0,0.67749023
5279,Northern Rockies & Plains,49.09999999999999,-109.30000000000088,9.90152,0.0,91448.44,-2.2854252,0.7662964,-0.0005206764,3680.7883,167.27611,0.0,0.67626953
5280,Northern Rockies & Plains,49.09999999999999,-109.2000000000009,9.860504,0.0,91492.44,-2.2307377,0.8053589,-0.00066915154,3673.939,166.68,0.0,0.95544434
